LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,GDPLTFORECAST,TOT,MLN_USD,A,2009,775482.2798,
AUS,GDPLTFORECAST,TOT,MLN_USD,A,2010,792980.4314,
AUS,GDPLTFORECAST,TOT,MLN_USD,A,2011,813376.5975,
AUS,GDPLTFORECAST,TOT,MLN_USD,A,2012,842916.566,
AUS,GDPLTFORECAST,TOT,MLN_USD,A,2013,863550.1827,
AUS,GDPLTFORECAST,TOT,MLN_USD,A,2014,885749.6807,
AUS,GDPLTFORECAST,TOT,MLN_USD,A,2015,911549.2454,
AUS,GDPLTFORECAST,TOT,MLN_USD,A,2016,946475.8562,
AUS,GDPLTFORECAST,TOT,MLN_USD,A,2017,983554.1088,
AUS,GDPLTFORECAST,TOT,MLN_USD,A,2018,1020828.758,
AUS,GDPLTFORECAST,TOT,MLN_USD,A,2019,1058135.553,
AUS,GDPLTFORECAST,TOT,MLN_USD,A,2020,1095687.973,
AUS,GDPLTFORECAST,TOT,MLN_USD,A,2021,1133435.593,
AUS,GDPLTFORECAST,TOT,MLN_USD,A,2022,1171685.817,
AUS,GDPLTFORECAST,TOT,MLN_USD,A,2023,1210607.327,
AUS,GDPLTFORECAST,TOT,MLN_USD,A,2024,1250350.494,
AUS,GDPLTFORECAST,TOT,MLN_USD,A,2025,1290975.242,
AUS,GDPLTFORECAST,TOT,MLN_USD,A,2026,1331644.91,
AUS,GDPLTFORECAST,TOT,MLN_USD,A,2027,1373373.192,
AUS,GDPLTFORECAST,TOT,MLN_USD,A,2028,1416091.359,
AUS,GDPLTFORECAST,TOT,MLN_USD,A,2029,1459603.321,
AUS,GDPLTFORECAST,TOT,MLN_USD,A,2030,1503774.916,
AUS,GDPLTFORECAST,TOT,MLN_USD,A,2031,1547916.334,
AUS,GDPLTFORECAST,TOT,MLN_USD,A,2032,1592723.822,
AUS,GDPLTFORECAST,TOT,MLN_USD,A,2033,1638205.399,
AUS,GDPLTFORECAST,TOT,MLN_USD,A,2034,1684407.179,
AUS,GDPLTFORECAST,TOT,MLN_USD,A,2035,1731316.991,
AUS,GDPLTFORECAST,TOT,MLN_USD,A,2036,1777863.198,
AUS,GDPLTFORECAST,TOT,MLN_USD,A,2037,1825076.166,
AUS,GDPLTFORECAST,TOT,MLN_USD,A,2038,1872927.745,
AUS,GDPLTFORECAST,TOT,MLN_USD,A,2039,1921350.289,
AUS,GDPLTFORECAST,TOT,MLN_USD,A,2040,1970272.05,
AUS,GDPLTFORECAST,TOT,MLN_USD,A,2041,2018586.204,
AUS,GDPLTFORECAST,TOT,MLN_USD,A,2042,2067586.521,
AUS,GDPLTFORECAST,TOT,MLN_USD,A,2043,2117278.042,
AUS,GDPLTFORECAST,TOT,MLN_USD,A,2044,2167701.313,
AUS,GDPLTFORECAST,TOT,MLN_USD,A,2045,2218914.461,
AUS,GDPLTFORECAST,TOT,MLN_USD,A,2046,2269842.185,
AUS,GDPLTFORECAST,TOT,MLN_USD,A,2047,2321780.12,
AUS,GDPLTFORECAST,TOT,MLN_USD,A,2048,2374713.194,
AUS,GDPLTFORECAST,TOT,MLN_USD,A,2049,2428603.553,
AUS,GDPLTFORECAST,TOT,MLN_USD,A,2050,2483415.195,
AUT,GDPLTFORECAST,TOT,MLN_USD,A,2009,289971.6062,
AUT,GDPLTFORECAST,TOT,MLN_USD,A,2010,295425.2594,
AUT,GDPLTFORECAST,TOT,MLN_USD,A,2011,303935.3008,
AUT,GDPLTFORECAST,TOT,MLN_USD,A,2012,306039.1841,
AUT,GDPLTFORECAST,TOT,MLN_USD,A,2013,307354.4935,
AUT,GDPLTFORECAST,TOT,MLN_USD,A,2014,311829.6305,
AUT,GDPLTFORECAST,TOT,MLN_USD,A,2015,318504.1085,
AUT,GDPLTFORECAST,TOT,MLN_USD,A,2016,327001.493,
AUT,GDPLTFORECAST,TOT,MLN_USD,A,2017,335298.6485,
AUT,GDPLTFORECAST,TOT,MLN_USD,A,2018,343043.1363,
AUT,GDPLTFORECAST,TOT,MLN_USD,A,2019,350408.4642,
AUT,GDPLTFORECAST,TOT,MLN_USD,A,2020,357609.511,
AUT,GDPLTFORECAST,TOT,MLN_USD,A,2021,364711.0758,
AUT,GDPLTFORECAST,TOT,MLN_USD,A,2022,371820.094,
AUT,GDPLTFORECAST,TOT,MLN_USD,A,2023,379000.991,
AUT,GDPLTFORECAST,TOT,MLN_USD,A,2024,386293.9086,
AUT,GDPLTFORECAST,TOT,MLN_USD,A,2025,393724.1045,
AUT,GDPLTFORECAST,TOT,MLN_USD,A,2026,401307.7849,
AUT,GDPLTFORECAST,TOT,MLN_USD,A,2027,409060.2693,
AUT,GDPLTFORECAST,TOT,MLN_USD,A,2028,416985.2392,
AUT,GDPLTFORECAST,TOT,MLN_USD,A,2029,425073.8261,
AUT,GDPLTFORECAST,TOT,MLN_USD,A,2030,433314.1121,
AUT,GDPLTFORECAST,TOT,MLN_USD,A,2031,441695.1494,
AUT,GDPLTFORECAST,TOT,MLN_USD,A,2032,450204.9891,
AUT,GDPLTFORECAST,TOT,MLN_USD,A,2033,458828.5508,
AUT,GDPLTFORECAST,TOT,MLN_USD,A,2034,467545.0804,
AUT,GDPLTFORECAST,TOT,MLN_USD,A,2035,476333.88,
AUT,GDPLTFORECAST,TOT,MLN_USD,A,2036,485176.5261,
AUT,GDPLTFORECAST,TOT,MLN_USD,A,2037,494057.9782,
AUT,GDPLTFORECAST,TOT,MLN_USD,A,2038,502966.1895,
AUT,GDPLTFORECAST,TOT,MLN_USD,A,2039,511889.9893,
AUT,GDPLTFORECAST,TOT,MLN_USD,A,2040,520821.7453,
AUT,GDPLTFORECAST,TOT,MLN_USD,A,2041,529761.1041,
AUT,GDPLTFORECAST,TOT,MLN_USD,A,2042,538712.6858,
AUT,GDPLTFORECAST,TOT,MLN_USD,A,2043,547681.6472,
AUT,GDPLTFORECAST,TOT,MLN_USD,A,2044,556673.0996,
AUT,GDPLTFORECAST,TOT,MLN_USD,A,2045,565691.7989,
AUT,GDPLTFORECAST,TOT,MLN_USD,A,2046,574744.0427,
AUT,GDPLTFORECAST,TOT,MLN_USD,A,2047,583835.0831,
AUT,GDPLTFORECAST,TOT,MLN_USD,A,2048,592966.2283,
AUT,GDPLTFORECAST,TOT,MLN_USD,A,2049,602135.9261,
AUT,GDPLTFORECAST,TOT,MLN_USD,A,2050,611342.3583,
BEL,GDPLTFORECAST,TOT,MLN_USD,A,2009,349705.8163,
BEL,GDPLTFORECAST,TOT,MLN_USD,A,2010,357829.3127,
BEL,GDPLTFORECAST,TOT,MLN_USD,A,2011,364178.5987,
BEL,GDPLTFORECAST,TOT,MLN_USD,A,2012,363676.6126,
BEL,GDPLTFORECAST,TOT,MLN_USD,A,2013,364522.7896,
BEL,GDPLTFORECAST,TOT,MLN_USD,A,2014,370165.6705,
BEL,GDPLTFORECAST,TOT,MLN_USD,A,2015,376630.9591,
BEL,GDPLTFORECAST,TOT,MLN_USD,A,2016,383799.5142,
BEL,GDPLTFORECAST,TOT,MLN_USD,A,2017,391511.0972,
BEL,GDPLTFORECAST,TOT,MLN_USD,A,2018,399595.7473,
BEL,GDPLTFORECAST,TOT,MLN_USD,A,2019,408076.2332,
BEL,GDPLTFORECAST,TOT,MLN_USD,A,2020,416989.4954,
BEL,GDPLTFORECAST,TOT,MLN_USD,A,2021,426331.8646,
BEL,GDPLTFORECAST,TOT,MLN_USD,A,2022,436064.8047,
BEL,GDPLTFORECAST,TOT,MLN_USD,A,2023,446002.8809,
BEL,GDPLTFORECAST,TOT,MLN_USD,A,2024,456144.3575,
BEL,GDPLTFORECAST,TOT,MLN_USD,A,2025,466496.5343,
